Frage;Antwort
"Wo steht etwas zu ""zulässige unteschiedliche Behandlungen""? (nenne die Gründe und die Paragraphen)";"1. wegen beruflicher Anforderungen (§8 AGG); 2. wegen Religion oder Weltanschauung (§9 AGG); 3. wegen des Alters (§10 AGG)"
Was sind die Folgen eines Verstoßes gegen das Allgemeine Gleichbehandlungsgesetz (AGG)? (nenne auch den Paragraphen);Entschädigung und Schadensersatz (§15 AGG)
Bedarf eine ordentliche Kündigung der Schriftform?;Ja (§623 BGB)
Bedarf eine Kündigung zweier oder einer Willenserklärung?;einer einseitigen Willenserklärung, die jedoch empfangsbedürftig ist.
Welche zwei Kündigungsvarianten gibt es?;ordentliche und außerordentliche Kündigung.
Unter welchen Normen ist die außerordentliche Kündigung definiert?;§626 GBG: Fristlose Kündigung aus wichtigem Grund & §627 Fristlose Kündigung bei Vertrauensstellung
Welche Punkte sind bei der ordentlichen Kündigung zu beachten? (nenne auch Gesetzesstellen);"1. bedarf der Schriftform (§623 BGB); 2. Fristen sind zu beachten (§622: Arbeitnehmer unter Abs.1; Arbeitgeber unter Abs.2; Arbeitgeber darf keine kürzere Frist bekommen als der Arbeitnehmer Abs. 6); 3. Kündigungsschutzgesetzt (KSchG) könnte greifen"
Was sind die Vorraussetzungen dafür, dass das Kündigungsschutzgesetzt (KSChG) zur Anwendung kommt? (nenne auch die Paragraphen);"1. Anstellung länger als 6 Monate (§1 Abs. 1 KschG); 2. Ausreichende Betriebsgröße (Anwendungsbereich/Formel unter §23 KSchG)"
Was ist erforderlich für eine wirksame Kündigung, wenn das Kündigungsschutzgesetz (KSchG) zur Anwendung kommt? (nenne den Paragraphen);Es bedarf eines sozial gerechtfertigten Grundes. Entweder Personen-, Verhaltens- oder Betriebsbedingt. (§1 Abs. 1 KSchG)
Nenne die Gründe für eine sozialgerechtfertigte Kündigung, wenn das Kündigungsschutzgesetzt gilt. (jeweils mit Beispiel);"1. Personenbeding (Bsp. Krankheit ohne Aussicht auf Besserung, mangelnde Qualifikation); 2. Verhaltensbedingt (Bsp. Fehlverhalten, eventuell trotz Abmahnung); 3. Betriebsbeding (Bsp. Produktionsverlagerung, Stilllegung) "
Was muss berücksichtigt werden, wenn in einem Fall, in dem das Kündigungsschutzgesetz greift, es zu einer betriebsbedingten Kündigung kommen soll? (nenne die Gesetzesstelle);Es ist ein Sozialplan zu berücksichtigen (§1 Abs. 3 KSchG)
Wer kann eine außerordentliche Kündigung aussprechen?;Sowohl der Arbeitnehmer als auch der Arbeitgeber (§626 Abs. 1 BGB)
Wann kann eine außerordentlich Kündigung erfolgen? (nenne den Paragraphen);Wenn Tatsachen vorliegen, auf dessen Grund eine weitere Zusammenarbeit unzumutbar ist (§ 626 BGB)
In welchem Zeitraum kann eine außerordentliche Kündigung erfolgen? (wo steht das?);Innerhalb von 14 Tagen (ab Kenntnisnahme der Tatsachen). Auf Verlangen ist der Kündigungsgrund unverzüglich schriftlich mitzuteilen (§626 Abs. 2 BGB)
Bedarf der Aufhebungsvertrag der Schriftform?;Ja. Wie Kündigung (§623 BGB)
"Wo steht etwas zu ""Anfechtung wegen Täuschung"". Dies kann auch im Rahmen eines Aufhebungsvertrages eine Rolle spielen.";§123 BGB
Was weißt du zu Tarifverträgen?;"Die gibt es ;) genaueres wäre unter dem Tarifvertragsgesetz zu finden (TGV) aber so viel ich weiß ist das nicht klausurrelevant ;)))"
"Wo lässt sich etwas zum Thema ""Betriebsrat"" finden?";Im Betriebsverfassungsgesetz (BetrVG)
Welche Aufgaben hat der Betriebsrat?;Der Betriebsrat stellt die Interessenvertretung der Arbeitnehmer da
"Wo ist der Begriff ""Arbeitnehmer"" definiert?";§5 BetrVG
Was sind die Vorraussetzungen dafür, dass ein Betriebsrat gebildet wird? (nenne die Norm);i.d.R. mehr als 5 wahlberechtigte Arbeitnehmer, von denen 3 wählbar sind. (§1 Abs. 1 BetrVG)
Welche zwei Wahlrechte gibt es in Zusammenhang mit Betriebsräten? (nenne die Normen);"1. Wahlberechtigung (aktives Wahlrecht) §7 BetrVG; 2. Wählbarkeit (passives Wahlrecht) §8 BetrVG"
Wer darf den Betriebsrat wählen (aktives Wahlrecht)? (nenne auch den Paragraphen);Wer min. 18 Jahre alt ist und länger als 3 Monate im  Betrieb eingesetzt wurde (§7 BetrVG)
Wer darf als Betriebsratsmitglied gewählt werden (passives Wahlrecht)? (nenne auch den Paragraphen);Alle Wahlberechtigten (nach §7 BetrVG) die min. 6 Monate für den Betrieb tätig waren. Es sei denn das Wählbarkeitsrecht wurde aus strafrechtlichen Gründen entzogen (§8 BetrVG). Achtung: Wer kein Arbeitnehmer nach §5 BetrVG ist (z.B. Lebenspartner des Arbeitgebers) kann auch nicht gewählt werden, weil er ist ja gar nicht Arbeitnehmer per Definition
Wo ist die Größe des Betriebsrates in Abhängigkeit von der Betriebsgröße definiert?;§9 BetrVG
Welche Rechte hat der Betriebsrat und wo steht das?;"1. Mitbestimmungsrecht in sozialen Angelegenheiten (§87 BetrVG insgesamt sind dort 13 Punkte genannt); 2. Unterrichtungs- und Beratungsrechte (§90 BetrVG); 3. Mitbestimmungsrecht (§91 BetrVG); 4. Personalplanung (§92 Abs. 1 BetrVG); 5. Anhörungsrecht bei Kündigungen (§102 BetrVG)"
Welche Faustformel lässt sich bezüglich des Betriebsrates sagen?;"""Je weiter die Angelegenheiten von sozialen Aspekten entfernt ist, desto weniger Einfluss hat der Betriebsrat"""
Welche Mitbestimmungsrechte hat der Betriebsrat bei Kündigungen? (nenne auch die Gesetzesstellen);"1. Anhörungsrecht (§102 Abs. 1 BetrVG); 2. Äußerung von Bedenken (schriftlich) innerhalb einer Woche bei ordentlichen Kündigungen und innerhalb von 3 Tagen bei außerordentlichen Kündigungen (§102 Abs. 2 BetrVG)"
Inwiefern ist der Betriebsrat vom Kündigungungsschutzgesetz betroffen? (nenne den §);Der Betriebsrat steht nach §15 KSchG unter Kündigungsschutz
Welche Feiheiten gelten allgemein bei Verträgen?;"Abschlussfreiheit: 1. Formfreiheit; 2. Inhaltsfreiheit; 3. Abschlussreiheit (Es sei denn einer der Aspekte widerspricht einer übergeordneten Norm)"
Definiere Arbeitnehmer;Arbeitnehmer ist, wer durch privatrechltichen Vertrag verpflichtet ist, Dienste zu leisten, die in unselbständiger Arbeit zu entrichten sind. (Abgrenzung zu selbständiger Arbeit: selbständige Arbeit ist nicht weisungsgebunden. Der Arbeitnehmer ist bei selbst. Arbeit nicht in die Organisation des Arbeitgebers eingebunden.)
"Welche zwei Unterschiede weißt ""selbständige Tätigkeit"" gegenüber ""angestellt sein"" auf?";1. Selbständige Arbeit ist nicht weisungsgebunden. 2. Der Arbeitnehmer ist bei selbständiger Arbeit nicht in die Organisation des Arbeitgebers eingebunden.
Definiere Arbeitgeber;Arbeitgeber ist jede natürlich oder juristische Person, die mindestens einen Arbeitnehmer beschäftigt und aufgrund eines Arbeitsvertrags Arbeitsleistung verlangen kann. (Bedenke: Juristische Personen sind zwar rechstsfähig, müssen aber durch natürliche Personen, die die juristische Person vertreten, handeln.
Wie wird im Gutachtenstil der Anspruch geprüft?;"Obersatz: Wer will was von wem woraus?; 1. Der Anspruch müsste entstanden sein; 2. Der Anspruch dürfte nicht untergegangen sein. 3. Der Anspruch müsste durchsetzbar sein."
Wie entsteht ein Anspruch? Welche Vorraussetzungen bedarf die Wirksamkeit?;"1. Durch Ansprüche aus Rechtsgeschäft; 2. Es bedarf einer Willenseinigung (über die wesentlichen Vertragsbestandteile §104 ff. BGB sowie korrespondierende Willenserklärungen: Angebot und Annahme); 3. Es dürfen keine Wirksamkeitshindernisse vorliegen (Unwirksamkeit von Willenserklärung z.B. Geschäftsunfähigkeit §105 Abs. 1 i.V.m. §104 BGB; Sittenverstoß §103 BGB...); 4. Außerhalb von Rechstgeschäften können Ansprüche aus Gesetzt entstehen (z.B.: §823)"
Wann ist eine Anspruch untergegangen?;Wenn ein Erlöschungsgrund vorliegt, er inhaltlich verändert ist oder er auf einen anderen übergegangen ist (rechtsvernichtende Einwendungen). Z.B. Wenn bereits geleistet/gezahlt wurde.
Wann ist ein Anspruch nicht durchsetztbar?;Wenn eine die Durchsetzbarkeit hemmende Einrede des Anspruchsgegners besteht. Als Vorraussetzung der Wirkung einer Einrede muss die jeweilige Einrede, im Gegensatz zur Einwendung, ausdrücklich oder konkludent erhoben werden. Z.B. Verjährung.
Wie lautet das Prüfungsschema für Haftung aus unerlaubter Handlung? (nenne auch die Paragraphen);"Haftung aus unerlaubter Handlung setzt kein Vertragsverhältnis voraus. Schuldner und Gläubiger werden kraft des Gesetzes schuldrechtlich miteinander verbunden.\nVorraussetzungen: 1. Rechstgrund des §823 Abs. 1 oder Abs. 2 muss verletzt sein; 2. Schaden (jeder Vermögensschaden); Schmerzensgeld; 3. Rechstwiedrige Veletzungshandlugn; 4.Verschulden (Fahrlässig oder Vorsatz); 5. Kausalzusammenhang zwischen Schaden und Verletzungshandlung"
Wie lautet das Prüfungsschema für Schadensersatz nach §§ 280 BGB?;"Vorraussetzungen: 1. Schuldverhältnis (nach §280 BGB grundsätzlich alle Vertragsarten); 2. Pflichtverletzung; 3. Vertretenmüssen (Fahrlässigkeit oder Vorsatz) des Schuldners (§ 280 Abs. 1 Satz 2 ""doppelt verneinter Satz""); 4. Durch die Pflichtverletzung muss ein Schaden entstanden sein. Der Umfang des Schadensersatzes ergibt sich aus den §§ 249 ff. BGB; 5. Ursachenzusammenhang zwischen Handlung oder Unterlassen und Schaden"
"Was bedeutet ""Fahrlässigkeit""? (nenne auch die Norm)";Fahrlässig handelt, wer die im Verkehr erforderliche Sorgfaltspflicht außer Acht lässt (§276 Abs. 2 GBG)
Welche zwei Fahrlässigkeiten unterscheidet das Zivilrecht?;"1. Leicht Fahrlässigkeit i.S.d. §276 Abs. 2 BGB; 2. Grobe Fahrlässigkeit: nicht im Gesetz definiert. Wird angenommen wenn Sorgfaltspflicht zu ungewöhnlich hohem Maße verletzt wurde."
Welche zusätzliche Fahrlässigkeit gilt es im Arbeitsrecht zu beachten? Was sind die Folgen davon?;"1. Mittlere Fahrlässigkeit; 2. Der Schaden wird gequotelt (zwischen Arbeitnehmer und Arbeitgeber aufgeteilt)"
Was bedeutet Vorsatz?;Vorsatz ist das Wissen und Wollen eines bestimmten Erfolges. Es besteht der konkrete Wille, eine Handlung auszuführen.
Nach welchen Kriterien richtet sich die Quote beim innerbetrieblichen Schadensausgleich, wenn eine mittlere Fahrlässigkeit des Arbeitnehmers vorliegt?;"1. Verhalten in der Vergangenheit; 2. Art und Schwierigkeit der Tätigkeit; 3. Schadensrisiko; 4. Versicherbarkeit des Schadensrisikos; 5. Mitverschulden des Arbeitgebers"
Wie lautet das Prüfungsschema bei Kündigungen mit Geltung des Kündigungsschutzgesetzes?;"1. Arbeitsvertrag? ; 2. Kündigung ist ausgesprochen/liegt vor? (in Schriftform); 3. Kündigungsfrist eingehalten?; 4. Geltung des KSchG? (Mehr als 10 Mitarbeiter und mehr als 6 Monate Betriebszugehörigkeit)\nKündigung muss sozial gerechtfertigt sein: Betriebs-, personen- oder verhaltensbedingt.\nBei betriebsbedingt: eventuell Sozialplan & bei verhaltensbedingter Kündigung Abmahnung bedenken."
